Username,Rating,Review Text,casefolding,normalisasi,tokenize,stopword,stemming
PERSIKATIM Official,1,Aplikasi taikupgrade akun gak bisaaudah lama nunggu ujungujung nya gak bisaa babii,aplikasi taikupgrade akun gak bisaaudah lama nunggu ujungujung nya gak bisaa babii,aplikasi taikupgrade akun tidak bisaudah lama menunggu ujungujung ya tidak bisa babii,"['aplikasi', 'taikupgrade', 'akun', 'tidak', 'bisaudah', 'lama', 'menunggu', 'ujungujung', 'ya', 'tidak', 'bisa', 'babii']","['aplikasi', 'taikupgrade', 'akun', 'bisaudah', 'menunggu', 'ujungujung', 'babii']","aplikasi, taikupgrade, akun, bisaudah, tunggu, ujungujung, babi"
Reza yoga prayuda,1,najis email aktip tapi verifikasi ga ada,najis email aktip tapi verifikasi ga ada,najis email aktip tapi verifikasi tidak ada,"['najis', 'email', 'aktip', 'tapi', 'verifikasi', 'tidak', 'ada']","['najis', 'email', 'aktip', 'verifikasi']","najis, email, aktip, verifikasi"
Nafas Hidup,1,Apk tai,apk tai,apk tahi,"['apk', 'tahi']","['apk', 'tahi']","apk, tahi"
Garnet,5,Semoga jangan Terulang Kembali Keluhan saya,semoga jangan terulang kembali keluhan saya,semoga jangan terulang kembali keluhan saya,"['semoga', 'jangan', 'terulang', 'kembali', 'keluhan', 'saya']","['semoga', 'terulang', 'keluhan']","moga, ulang, keluh"
Linggar Saputra,3,Nyoba,nyoba,mencoba,['mencoba'],['mencoba'],coba
Rahmat Trianna,1,Apk gak guna mau upgrad ke pull servis aja susah baru sekali upgrade kata nya udah beberapa kali upgrade sue apk sesat auto delet gak guna,apk gak guna mau upgrad ke pull servis aja susah baru sekali upgrade kata nya udah beberapa kali upgrade sue apk sesat auto delet gak guna,apk tidak guna mau upgrad ke pull servis saja susah baru sekali upgrade kata ya sudah beberapa kali upgrade sue apk sesat auto delet tidak guna,"['apk', 'tidak', 'guna', 'mau', 'upgrad', 'ke', 'pull', 'servis', 'saja', 'susah', 'baru', 'sekali', 'upgrade', 'kata', 'ya', 'sudah', 'beberapa', 'kali', 'upgrade', 'sue', 'apk', 'sesat', 'auto', 'delet', 'tidak', 'guna']","['apk', 'upgrad', 'pull', 'servis', 'susah', 'upgrade', 'kali', 'upgrade', 'sue', 'apk', 'sesat', 'auto', 'delet']","apk, upgrad, pull, servis, susah, upgrade, kali, upgrade, sue, apk, sesat, auto, delet"
Saya Baru,1,Transaksi nya gagal terus udah coba x masih aja gagal mau sampai kapan kaya begini,transaksi nya gagal terus udah coba x masih aja gagal mau sampai kapan kaya begini,transaksi ya gagal terus sudah coba kali masih saja gagal mau sampai kapan kayak begini,"['transaksi', 'ya', 'gagal', 'terus', 'sudah', 'coba', 'kali', 'masih', 'saja', 'gagal', 'mau', 'sampai', 'kapan', 'kayak', 'begini']","['transaksi', 'gagal', 'coba', 'kali', 'gagal', 'kayak']","transaksi, gagal, coba, kali, gagal, kayak"
Muhamad Toyib317,3,tolong di perbaiki biar update full servic nya cepat ga harus nunggu saya udh isi jta eh mau di tarik harus nunggu full servic nya di teraima dulu padahal saya isi dokumetasi benar tau gini mah mendigan ke dana aja,tolong di perbaiki biar update full servic nya cepat ga harus nunggu saya udh isi jta eh mau di tarik harus nunggu full servic nya di teraima dulu padahal saya isi dokumetasi benar tau gini mah mendigan ke dana aja,tolong di perbaiki biar update full servic ya cepat tidak harus memenunggu saya sudah isi jta eh mau di tarik harus memenunggu full servic ya di teraima dulu padahal saya isi dokumetasi benar tau begini mah menditidakn ke dana saja,"['tolong', 'di', 'perbaiki', 'biar', 'update', 'full', 'servic', 'ya', 'cepat', 'tidak', 'harus', 'memenunggu', 'saya', 'sudah', 'isi', 'jta', 'eh', 'mau', 'di', 'tarik', 'harus', 'memenunggu', 'full', 'servic', 'ya', 'di', 'teraima', 'dulu', 'padahal', 'saya', 'isi', 'dokumetasi', 'benar', 'tau', 'begini', 'mah', 'menditidakn', 'ke', 'dana', 'saja']","['tolong', 'perbaiki', 'biar', 'update', 'full', 'servic', 'cepat', 'memenunggu', 'isi', 'jta', 'eh', 'tarik', 'memenunggu', 'full', 'servic', 'teraima', 'isi', 'dokumetasi', 'tau', 'mah', 'menditidakn', 'dana']","tolong, baik, biar, update, full, servic, cepat, tunggu, isi, jta, eh, tarik, tunggu, full, servic, teraima, isi, dokumetasi, tau, mah, menditidakn, dana"
Hermanus Manus,1,bagus,bagus,bagus,['bagus'],['bagus'],bagus
LAWAS OFFICIAL,1,Upgrade ke full servis lama bngt gk selesai Padahal data sudah di kirim lengkao,upgrade ke full servis lama bngt gk selesai padahal data sudah di kirim lengkao,upgrade ke full servis lama banget tidak selesai padahal data sudah di kirim lentidakao,"['upgrade', 'ke', 'full', 'servis', 'lama', 'banget', 'tidak', 'selesai', 'padahal', 'data', 'sudah', 'di', 'kirim', 'lentidakao']","['upgrade', 'full', 'servis', 'banget', 'selesai', 'data', 'kirim', 'lentidakao']","upgrade, full, servis, banget, selesai, data, kirim, lentidakao"
Muhammad sigit s Raden mas sigit,1,Aplikasi aneh Lupa pin diminta reset Terus di suruh login ulang Eh saldonya ikut ilang Saldo rebu Gak rekomended Mending apk yg lain aja Akhirnya uninstall Please jgn instal apk GK jelas ini ya,aplikasi aneh lupa pin diminta reset terus di suruh login ulang eh saldonya ikut ilang saldo rebu gak rekomended mending apk yg lain aja akhirnya uninstall please jgn instal apk gk jelas ini ya,aplikasi aneh lupa pin diminta reset terus di suruh login ulang eh saldonyang ikut hilang saldo rebu tidak rekomended mending apk yangng lain saja akhirnyang uninstall please jangan instal apk tidak jelas ini yang,"['aplikasi', 'aneh', 'lupa', 'pin', 'diminta', 'reset', 'terus', 'di', 'suruh', 'login', 'ulang', 'eh', 'saldonyang', 'ikut', 'hilang', 'saldo', 'rebu', 'tidak', 'rekomended', 'mending', 'apk', 'yangng', 'lain', 'saja', 'akhirnyang', 'uninstall', 'please', 'jangan', 'instal', 'apk', 'tidak', 'jelas', 'ini', 'yang']","['aplikasi', 'aneh', 'lupa', 'pin', 'reset', 'suruh', 'login', 'ulang', 'eh', 'saldonyang', 'hilang', 'saldo', 'rebu', 'rekomended', 'mending', 'apk', 'yangng', 'akhirnyang', 'uninstall', 'please', 'instal', 'apk']","aplikasi, aneh, lupa, pin, reset, suruh, login, ulang, eh, saldonyang, hilang, saldo, rebu, rekomended, mending, apk, yangng, akhirnyang, uninstall, please, instal, apk"
xbayu,1,Verifikasi email nya ngak jelas lol,verifikasi email nya ngak jelas lol,verifikasi email ya tidak jelas lol,"['verifikasi', 'email', 'ya', 'tidak', 'jelas', 'lol']","['verifikasi', 'email', 'lol']","verifikasi, email, lol"
guntur black black,5,Keren sekali,keren sekali,keren sekali,"['keren', 'sekali']",['keren'],keren
Achmad Murtado340,5,Jejeu,jejeu,jejeu,['jejeu'],['jejeu'],jejeu
Kamidin Propertydesigen,5,Sangatmendukung,sangatmendukung,sangatmendukung,['sangatmendukung'],['sangatmendukung'],sangatmendukung
ddy S,5,Baik,baik,baik,['baik'],[],
OCEAN _LG,1,Aplikasi pembayaran tapi seharusnya login ke akun hanya menggunakan nomor sebagai kode verifikasi karena banyak pengguna yang Gmailnya sudah dinonaktifkan google karena jarang aktif kan hp tolong diperbaiki update berikutnya soal login ke akun link aja,aplikasi pembayaran tapi seharusnya login ke akun hanya menggunakan nomor sebagai kode verifikasi karena banyak pengguna yang gmailnya sudah dinonaktifkan google karena jarang aktif kan hp tolong diperbaiki update berikutnya soal login ke akun link aja,aplikasi pembayaran tapi seharusnya login ke akun hanya menggunakan nomor sebagai kode verifikasi karena banyak pengguna yang gmailnya sudah dinonaktifkan google karena jarang aktif kan hp tolong diperbaiki update berikutnya soal login ke akun link saja,"['aplikasi', 'pembayaran', 'tapi', 'seharusnya', 'login', 'ke', 'akun', 'hanya', 'menggunakan', 'nomor', 'sebagai', 'kode', 'verifikasi', 'karena', 'banyak', 'pengguna', 'yang', 'gmailnya', 'sudah', 'dinonaktifkan', 'google', 'karena', 'jarang', 'aktif', 'kan', 'hp', 'tolong', 'diperbaiki', 'update', 'berikutnya', 'soal', 'login', 'ke', 'akun', 'link', 'saja']","['aplikasi', 'pembayaran', 'login', 'akun', 'nomor', 'kode', 'verifikasi', 'pengguna', 'gmailnya', 'dinonaktifkan', 'google', 'jarang', 'aktif', 'hp', 'tolong', 'diperbaiki', 'update', 'login', 'akun', 'link']","aplikasi, bayar, login, akun, nomor, kode, verifikasi, guna, gmailnya, nonaktif, google, jarang, aktif, hp, tolong, baik, update, login, akun, link"
Ramanda Zulvietama,5,Lancar transaksi,lancar transaksi,lancar transaksi,"['lancar', 'transaksi']","['lancar', 'transaksi']","lancar, transaksi"
ANGGI Wahyu,1,buat cs nya terlalu ribet untuk pengaduanmuter gaada penjelasansaya mau mengajukan keluhan kok di tolak terus baru aja kirim lwat email kok sudah di tutup,buat cs nya terlalu ribet untuk pengaduanmuter gaada penjelasansaya mau mengajukan keluhan kok di tolak terus baru aja kirim lwat email kok sudah di tutup,buat customer service ya terlalu ribet untuk pengaduanmuter tidak ada penjelasansaya mau mengajukan keluhan kok di tolak terus baru saja kirim lwat email kok sudah di tutup,"['buat', 'customer', 'service', 'ya', 'terlalu', 'ribet', 'untuk', 'pengaduanmuter', 'tidak', 'ada', 'penjelasansaya', 'mau', 'mengajukan', 'keluhan', 'kok', 'di', 'tolak', 'terus', 'baru', 'saja', 'kirim', 'lwat', 'email', 'kok', 'sudah', 'di', 'tutup']","['customer', 'service', 'ribet', 'pengaduanmuter', 'penjelasansaya', 'mengajukan', 'keluhan', 'tolak', 'kirim', 'lwat', 'email', 'tutup']","customer, service, ribet, pengaduanmuter, penjelasansaya, aju, keluh, tolak, kirim, lwat, email, tutup"
Peter Chong,5,Aplikasi babi Status di aplikasi masih di proses Tapi respon di email udah sukses Saldo hilang sia sia,aplikasi babi status di aplikasi masih di proses tapi respon di email udah sukses saldo hilang sia sia,aplikasi babi status di aplikasi masih di proses tapi respon di email sudah sukses saldo hilang sia sia,"['aplikasi', 'babi', 'status', 'di', 'aplikasi', 'masih', 'di', 'proses', 'tapi', 'respon', 'di', 'email', 'sudah', 'sukses', 'saldo', 'hilang', 'sia', 'sia']","['aplikasi', 'babi', 'status', 'aplikasi', 'proses', 'respon', 'email', 'sukses', 'saldo', 'hilang', 'sia', 'sia']","aplikasi, babi, status, aplikasi, proses, respon, email, sukses, saldo, hilang, sia, sia"
Debi Rahayu87,3,Sebenarnya enak pakai linktapi sekarang saya tidak bisa masuk ke link,sebenarnya enak pakai linktapi sekarang saya tidak bisa masuk ke link,sebenarnya enak pakai linktapi sekarang saya tidak bisa masuk ke link,"['sebenarnya', 'enak', 'pakai', 'linktapi', 'sekarang', 'saya', 'tidak', 'bisa', 'masuk', 'ke', 'link']","['enak', 'pakai', 'linktapi', 'masuk', 'link']","enak, pakai, linktapi, masuk, link"
Irwan hidayat,1,Bagus sih jelek nya sulit kalo kartu hilang gak praktif ganti no hp nya ribet,bagus sih jelek nya sulit kalo kartu hilang gak praktif ganti no hp nya ribet,bagus sih jelek ya sulit kalau kartu hilang tidak praktif ganti no hp ya ribet,"['bagus', 'sih', 'jelek', 'ya', 'sulit', 'kalau', 'kartu', 'hilang', 'tidak', 'praktif', 'ganti', 'no', 'hp', 'ya', 'ribet']","['bagus', 'jelek', 'sulit', 'kartu', 'hilang', 'praktif', 'ganti', 'no', 'hp', 'ribet']","bagus, jelek, sulit, kartu, hilang, praktif, ganti, no, hp, ribet"
Adi putra nopriyanto,5,Kak saya mintak tolong kenapa saya mau masuk linkaja GK bisa menampilkan menu awalmelainkan akun saya menampilkan verifikasi akun Emil sayasedang kan Emil yg saya daftar udah benar tetapi verifikasi memintak kode emilnyabantu kak kode Emil saya berapa,kak saya mintak tolong kenapa saya mau masuk linkaja gk bisa menampilkan menu awalmelainkan akun saya menampilkan verifikasi akun emil sayasedang kan emil yg saya daftar udah benar tetapi verifikasi memintak kode emilnyabantu kak kode emil saya berapa,kak saya mintak tolong kenapa saya mau masuk linkaja tidak bisa menampilkan menu awalmelainkan akun saya menampilkan verifikasi akun emil sayasedang kan emil yang saya daftar sudah benar tetapi verifikasi memintak kode emilnyabantu kak kode emil saya berapa,"['kak', 'saya', 'mintak', 'tolong', 'kenapa', 'saya', 'mau', 'masuk', 'linkaja', 'tidak', 'bisa', 'menampilkan', 'menu', 'awalmelainkan', 'akun', 'saya', 'menampilkan', 'verifikasi', 'akun', 'emil', 'sayasedang', 'kan', 'emil', 'yang', 'saya', 'daftar', 'sudah', 'benar', 'tetapi', 'verifikasi', 'memintak', 'kode', 'emilnyabantu', 'kak', 'kode', 'emil', 'saya', 'berapa']","['kak', 'mintak', 'tolong', 'masuk', 'linkaja', 'menampilkan', 'menu', 'awalmelainkan', 'akun', 'menampilkan', 'verifikasi', 'akun', 'emil', 'sayasedang', 'emil', 'daftar', 'verifikasi', 'memintak', 'kode', 'emilnyabantu', 'kak', 'kode', 'emil']","kak, mintak, tolong, masuk, linkaja, tampil, menu, awalmelainkan, akun, tampil, verifikasi, akun, emil, sayasedang, emil, daftar, verifikasi, mintak, kode, emilnyabantu, kak, kode, emil"
Ayam Ayam,1,Aplikasinya sangat ribet mau mau ganti nomor aja harus datang ke GraPARI mau hapus akun harus ngisi formulir giliran udah ngisi dan chat cs malah GK urus urus saran saya permudah saja penghapusan akun tanpa cs mungkin hapus akun dengan verifikasi wajah saja sudah cukup,aplikasinya sangat ribet mau mau ganti nomor aja harus datang ke grapari mau hapus akun harus ngisi formulir giliran udah ngisi dan chat cs malah gk urus urus saran saya permudah saja penghapusan akun tanpa cs mungkin hapus akun dengan verifikasi wajah saja sudah cukup,aplikasinya sangat ribet mau mau ganti nomor saja harus datang ke grapari mau hapus akun harus ngisi formulir giliran sudah ngisi dan chat customer service malah tidak urus urus saran saya permsudah ssaja penghapusan akun tanpa customer service muntidakin hapus akun dengan verifikasi wsajah ssaja ssudah cukup,"['aplikasinya', 'sangat', 'ribet', 'mau', 'mau', 'ganti', 'nomor', 'saja', 'harus', 'datang', 'ke', 'grapari', 'mau', 'hapus', 'akun', 'harus', 'ngisi', 'formulir', 'giliran', 'sudah', 'ngisi', 'dan', 'chat', 'customer', 'service', 'malah', 'tidak', 'urus', 'urus', 'saran', 'saya', 'permsudah', 'ssaja', 'penghapusan', 'akun', 'tanpa', 'customer', 'service', 'muntidakin', 'hapus', 'akun', 'dengan', 'verifikasi', 'wsajah', 'ssaja', 'ssudah', 'cukup']","['aplikasinya', 'ribet', 'ganti', 'nomor', 'grapari', 'hapus', 'akun', 'ngisi', 'formulir', 'giliran', 'ngisi', 'chat', 'customer', 'service', 'urus', 'urus', 'saran', 'permsudah', 'ssaja', 'penghapusan', 'akun', 'customer', 'service', 'muntidakin', 'hapus', 'akun', 'verifikasi', 'wsajah', 'ssaja', 'ssudah']","aplikasi, ribet, ganti, nomor, grapari, hapus, akun, ngisi, formulir, gilir, ngisi, chat, customer, service, urus, urus, saran, permsudah, ssaja, hapus, akun, customer, service, muntidakin, hapus, akun, verifikasi, wsajah, ssaja, ssudah"
Fitra Irawan,1,Gak becus masa dana gua ilang di sini keamanaan nya kurang cs kek titid di telpon cma jawab o doang nama nya rifki gak nyeselesaiin masaah malah bikin pusing,gak becus masa dana gua ilang di sini keamanaan nya kurang cs kek titid di telpon cma jawab o doang nama nya rifki gak nyeselesaiin masaah malah bikin pusing,tidak becus masa dana gua hilang di sini keamanaan ya kurang customer service kayak titid di telpon cuma jawab o doang nama ya rifki tidak nyeselesaiin masaah malah bikin pusing,"['tidak', 'becus', 'masa', 'dana', 'gua', 'hilang', 'di', 'sini', 'keamanaan', 'ya', 'kurang', 'customer', 'service', 'kayak', 'titid', 'di', 'telpon', 'cuma', 'jawab', 'o', 'doang', 'nama', 'ya', 'rifki', 'tidak', 'nyeselesaiin', 'masaah', 'malah', 'bikin', 'pusing']","['becus', 'dana', 'gua', 'hilang', 'keamanaan', 'customer', 'service', 'kayak', 'titid', 'telpon', 'o', 'doang', 'nama', 'rifki', 'nyeselesaiin', 'masaah', 'bikin', 'pusing']","becus, dana, gua, hilang, keamanaan, customer, service, kayak, titid, telpon, o, doang, nama, rifki, nyeselesaiin, masaah, bikin, pusing"
Miswandi Wandi,2,Bgs sekali,bgs sekali,bagus sekali,"['bagus', 'sekali']",['bagus'],bagus
Tommy Napitupulu,1,Upgrade aja susah gimana mau pake link aja,upgrade aja susah gimana mau pake link aja,upgrade ssaja susah bagaimana mau pakai link ssaja,"['upgrade', 'ssaja', 'susah', 'bagaimana', 'mau', 'pakai', 'link', 'ssaja']","['upgrade', 'ssaja', 'susah', 'pakai', 'link', 'ssaja']","upgrade, ssaja, susah, pakai, link, ssaja"
saiful ali,5,Upgrade nya terlalu lama,upgrade nya terlalu lama,upgrade ya terlalu lama,"['upgrade', 'ya', 'terlalu', 'lama']",['upgrade'],upgrade
King Golan,1,Kenapa tidak bisa daftar pakai nomor HP Selalu gagal,kenapa tidak bisa daftar pakai nomor hp selalu gagal,kenapa tidak bisa daftar pakai nomor hp selalu gagal,"['kenapa', 'tidak', 'bisa', 'daftar', 'pakai', 'nomor', 'hp', 'selalu', 'gagal']","['daftar', 'pakai', 'nomor', 'hp', 'gagal']","daftar, pakai, nomor, hp, gagal"
Rizky Aditya,2,Mengapa upgrade saya belum di setujui sedangkan saya sudah top up bagaimana menggunakan nya jika tidak bisa di upgrade aplikasi nya,mengapa upgrade saya belum di setujui sedangkan saya sudah top up bagaimana menggunakan nya jika tidak bisa di upgrade aplikasi nya,mengapa upgrade saya belum di setujui sedangkan saya sudah top up bagaimana menggunakan ya jika tidak bisa di upgrade aplikasi ya,"['mengapa', 'upgrade', 'saya', 'belum', 'di', 'setujui', 'sedangkan', 'saya', 'sudah', 'top', 'up', 'bagaimana', 'menggunakan', 'ya', 'jika', 'tidak', 'bisa', 'di', 'upgrade', 'aplikasi', 'ya']","['upgrade', 'setujui', 'top', 'up', 'upgrade', 'aplikasi']","upgrade, tuju, top, up, upgrade, aplikasi"
Dzaki Buchori,1,Apasih dah uninstall hapus data kok kode tiket muncul otomatis terus pas buka aplikasi mana gk bisa diclose muncul lagi muncul lagi,apasih dah uninstall hapus data kok kode tiket muncul otomatis terus pas buka aplikasi mana gk bisa diclose muncul lagi muncul lagi,apasih sudah uninstall hapus data kok kode tiket muncul otomatis terus pas buka aplikasi mana tidak bisa diclose muncul lagi muncul lagi,"['apasih', 'sudah', 'uninstall', 'hapus', 'data', 'kok', 'kode', 'tiket', 'muncul', 'otomatis', 'terus', 'pas', 'buka', 'aplikasi', 'mana', 'tidak', 'bisa', 'diclose', 'muncul', 'lagi', 'muncul', 'lagi']","['apasih', 'uninstall', 'hapus', 'data', 'kode', 'tiket', 'muncul', 'otomatis', 'pas', 'buka', 'aplikasi', 'diclose', 'muncul', 'muncul']","apasih, uninstall, hapus, data, kode, tiket, muncul, otomatis, pas, buka, aplikasi, diclose, muncul, muncul"
PUTRI RANIAA,3,Akun linkaja terbelokir sudah hari sampai saat ini pun belum berhasil di gunakan sudah TLP CS dan mengikuti cara cara yg di anjurkan oleh CS tp belum bisa terbuka mohon pihak linkaja bisa membantu,akun linkaja terbelokir sudah hari sampai saat ini pun belum berhasil di gunakan sudah tlp cs dan mengikuti cara cara yg di anjurkan oleh cs tp belum bisa terbuka mohon pihak linkaja bisa membantu,akun linkaja terbelokir sudah hari sampai saat ini pun belum berhasil di gunakan sudah telepon customer service dan mengikuti cara cara yang di anjurkan oleh customer service tapi belum bisa terbuka mohon pihak linkaja bisa membantu,"['akun', 'linkaja', 'terbelokir', 'sudah', 'hari', 'sampai', 'saat', 'ini', 'pun', 'belum', 'berhasil', 'di', 'gunakan', 'sudah', 'telepon', 'customer', 'service', 'dan', 'mengikuti', 'cara', 'cara', 'yang', 'di', 'anjurkan', 'oleh', 'customer', 'service', 'tapi', 'belum', 'bisa', 'terbuka', 'mohon', 'pihak', 'linkaja', 'bisa', 'membantu']","['akun', 'linkaja', 'terbelokir', 'berhasil', 'telepon', 'customer', 'service', 'mengikuti', 'anjurkan', 'customer', 'service', 'terbuka', 'mohon', 'linkaja', 'membantu']","akun, linkaja, terbelokir, hasil, telepon, customer, service, ikut, anjur, customer, service, buka, mohon, linkaja, bantu"
Ahmad Nazril rashad,5,sippp,sippp,sippp,['sippp'],['sippp'],sippp
Ilham Gita,1,Live chat gapernah sekalipun terhubung jadi kalo ada kendala apa apa susah untuk menghubungi live cht di email email link aja sudah tidak aktif di ig sama suruh live chat lewat aplikasi setelah di aplikasi susah terhubung Parah sii,live chat gapernah sekalipun terhubung jadi kalo ada kendala apa apa susah untuk menghubungi live cht di email email link aja sudah tidak aktif di ig sama suruh live chat lewat aplikasi setelah di aplikasi susah terhubung parah sii,live chat tidak pernah sekalipun terhubung jadi kalau ada kendala apa apa susah untuk menghubungi live cht di email email link saja sudah tidak aktif di ig sama suruh live chat lewat aplikasi setelah di aplikasi susah terhubung parah sih,"['live', 'chat', 'tidak', 'pernah', 'sekalipun', 'terhubung', 'jadi', 'kalau', 'ada', 'kendala', 'apa', 'apa', 'susah', 'untuk', 'menghubungi', 'live', 'cht', 'di', 'email', 'email', 'link', 'saja', 'sudah', 'tidak', 'aktif', 'di', 'ig', 'sama', 'suruh', 'live', 'chat', 'lewat', 'aplikasi', 'setelah', 'di', 'aplikasi', 'susah', 'terhubung', 'parah', 'sih']","['live', 'chat', 'terhubung', 'kendala', 'susah', 'menghubungi', 'live', 'cht', 'email', 'email', 'link', 'aktif', 'ig', 'suruh', 'live', 'chat', 'aplikasi', 'aplikasi', 'susah', 'terhubung', 'parah']","live, chat, hubung, kendala, susah, hubung, live, cht, email, email, link, aktif, ig, suruh, live, chat, aplikasi, aplikasi, susah, hubung, parah"
Nizamsel,1,Tolong untuk aplikasi link aja balikin uang saya pas transaksi uang nya ngak masuk tpi saldo terpotong,tolong untuk aplikasi link aja balikin uang saya pas transaksi uang nya ngak masuk tpi saldo terpotong,tolong untuk aplikasi link saja balikin uang saya pas transaksi uang ya tidak masuk tapi saldo terpotong,"['tolong', 'untuk', 'aplikasi', 'link', 'saja', 'balikin', 'uang', 'saya', 'pas', 'transaksi', 'uang', 'ya', 'tidak', 'masuk', 'tapi', 'saldo', 'terpotong']","['tolong', 'aplikasi', 'link', 'balikin', 'uang', 'pas', 'transaksi', 'uang', 'masuk', 'saldo', 'terpotong']","tolong, aplikasi, link, balikin, uang, pas, transaksi, uang, masuk, saldo, potong"
Cuplis Setiyawan,5,Sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus
wahyu harimaulana,5,Good,good,good,['good'],['good'],good
Canda Irawan,5,Bismillah semoga bermanfaat,bismillah semoga bermanfaat,bismillah semoga bermanfaat,"['bismillah', 'semoga', 'bermanfaat']","['bismillah', 'semoga', 'bermanfaat']","bismillah, moga, manfaat"
PUT PNC,5,Mantap,mantap,mantap,['mantap'],['mantap'],mantap
Chaidir Achmad,5,LinkAja mantapp,linkaja mantapp,linkaja mantap,"['linkaja', 'mantap']","['linkaja', 'mantap']","linkaja, mantap"
Andi Ono,1,Pelayanan dan penanganan fitur live chat sangat buruk Live chat hanya botrobot yang menjawab dengan otomatis Saldo terpotong dan tidak ada refund sampai hari ini tidak ada kejelasan padahal linkaja salah satu dompet digital ternama namun banyak keluhan pengguna atau masyarakat yang tidak bisa ditangani dengan baik LIVE CHAT TIDAK BERGUNA,pelayanan dan penanganan fitur live chat sangat buruk live chat hanya botrobot yang menjawab dengan otomatis saldo terpotong dan tidak ada refund sampai hari ini tidak ada kejelasan padahal linkaja salah satu dompet digital ternama namun banyak keluhan pengguna atau masyarakat yang tidak bisa ditangani dengan baik live chat tidak berguna,pelayanan dan penanganan fitur live chat sangat buruk live chat hanya botrobot yang menjawab dengan otomatis saldo terpotong dan tidak ada refund sampai hari ini tidak ada kejelasan padahal linkaja salah satu dompet digital ternama namun banyak keluhan pengguna atau masyarakat yang tidak bisa ditangani dengan baik live chat tidak berguna,"['pelayanan', 'dan', 'penanganan', 'fitur', 'live', 'chat', 'sangat', 'buruk', 'live', 'chat', 'hanya', 'botrobot', 'yang', 'menjawab', 'dengan', 'otomatis', 'saldo', 'terpotong', 'dan', 'tidak', 'ada', 'refund', 'sampai', 'hari', 'ini', 'tidak', 'ada', 'kejelasan', 'padahal', 'linkaja', 'salah', 'satu', 'dompet', 'digital', 'ternama', 'namun', 'banyak', 'keluhan', 'pengguna', 'atau', 'masyarakat', 'yang', 'tidak', 'bisa', 'ditangani', 'dengan', 'baik', 'live', 'chat', 'tidak', 'berguna']","['pelayanan', 'penanganan', 'fitur', 'live', 'chat', 'buruk', 'live', 'chat', 'botrobot', 'otomatis', 'saldo', 'terpotong', 'refund', 'kejelasan', 'linkaja', 'salah', 'dompet', 'digital', 'ternama', 'keluhan', 'pengguna', 'masyarakat', 'ditangani', 'live', 'chat', 'berguna']","layan, tangan, fitur, live, chat, buruk, live, chat, botrobot, otomatis, saldo, potong, refund, jelas, linkaja, salah, dompet, digital, nama, keluh, guna, masyarakat, tangan, live, chat, guna"
Jahid Mujahid,5,Samgat bagus,samgat bagus,samgat bagus,"['samgat', 'bagus']","['samgat', 'bagus']","samgat, bagus"
Mila Buton,1,Untuk di upgrade nya terlalu lama di proses makanya saya kasih bintang,untuk di upgrade nya terlalu lama di proses makanya saya kasih bintang,untuk di upgrade ya terlalu lama di proses makaya saya kasih bintang,"['untuk', 'di', 'upgrade', 'ya', 'terlalu', 'lama', 'di', 'proses', 'makaya', 'saya', 'kasih', 'bintang']","['upgrade', 'proses', 'makaya', 'kasih', 'bintang']","upgrade, proses, makaya, kasih, bintang"
Theresia Raba,1,Kenapa akun lama saya hilang di link ajapadahal saldo saya masih ada,kenapa akun lama saya hilang di link ajapadahal saldo saya masih ada,kenapa akun lama saya hilang di link ajapadahal saldo saya masih ada,"['kenapa', 'akun', 'lama', 'saya', 'hilang', 'di', 'link', 'ajapadahal', 'saldo', 'saya', 'masih', 'ada']","['akun', 'hilang', 'link', 'ajapadahal', 'saldo']","akun, hilang, link, ajapadahal, saldo"
Tengku Azhari Arifin,1,Sering gangguan,sering gangguan,sering gangguan,"['sering', 'gangguan']",['gangguan'],ganggu
Azril Ilham,5,Update,update,update,['update'],['update'],update
Juhdinor ST,5,Bagus membantu,bagus membantu,bagus membantu,"['bagus', 'membantu']","['bagus', 'membantu']","bagus, bantu"
Zack Nand,1,Aneh pokoknya buat lihat pesan notif pada linkaja tiba Koneksi terputus padahal buat download game berat aja lancar mbps di wifi nah di apk ini koneksi bisa terputus pokoknya bikin kesel,aneh pokoknya buat lihat pesan notif pada linkaja tiba koneksi terputus padahal buat download game berat aja lancar mbps di wifi nah di apk ini koneksi bisa terputus pokoknya bikin kesel,aneh pokoknya buat lihat pesan notif pada linksaja tiba koneksi terputus padahal buat download game berat saja lancar mbps di wifi nah di apk ini koneksi bisa terputus pokoknya bikin kesel,"['aneh', 'pokoknya', 'buat', 'lihat', 'pesan', 'notif', 'pada', 'linksaja', 'tiba', 'koneksi', 'terputus', 'padahal', 'buat', 'download', 'game', 'berat', 'saja', 'lancar', 'mbps', 'di', 'wifi', 'nah', 'di', 'apk', 'ini', 'koneksi', 'bisa', 'terputus', 'pokoknya', 'bikin', 'kesel']","['aneh', 'pokoknya', 'lihat', 'pesan', 'notif', 'linksaja', 'koneksi', 'terputus', 'download', 'game', 'berat', 'lancar', 'mbps', 'wifi', 'apk', 'koneksi', 'terputus', 'pokoknya', 'bikin', 'kesel']","aneh, pokok, lihat, pesan, notif, linksaja, koneksi, putus, download, game, berat, lancar, mbps, wifi, apk, koneksi, putus, pokok, bikin, kesel"
