stemming,label,weight,Rating
"yuk, hacker, kunjung, technolog, store, order, hacker, ultimate, aios",positive,4 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 0 = 1,1
"isi, pulsa, masuke, makein, parauhh, apke, linkeaja",negative,-2 + 0 + 0 + 0 + 0 + 0 + 0 = -2,1
"live, chat, aplikasi, link, pecah, masalahbisa, livechatya, langsung, customer, service, pilih, pertayaan, linksaya, live, chat, customer, service, langsung, keluh, customer, pilih, menu, pertayaan, aplikasi, link",positive,3 + 3 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 3 + 3 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 18,1
"aplikasi, rampokbalikin, uang, sayagoblokktop, up, saldio, tidiak, nambahchat, live, tidiak, responmau, malingbegini, amaatnajis, lahir, bathin, tidiak, ridihoomaliiing",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 = 6,1
"aplikasi, beres, komplain, tau, mana",negative,0 + 0 + 0 + 0 + 0 = 0,1
"keecewa, ali, linke, ajasaya, ngisi, pakeet, visiontapi, indosiar, sctv, dapatsaldo, keeluar, ributolong, keembalikean, saldo",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 = 2,3
"aplikasi, sedot, uang, curi, uang, token, selesai, ayo, rugi, lapor, customer, service, livechat, bot, tanggung, jawabviralkan, aplikasi, takut, kabur, bawa, uang, masyarakat, indonesia, tampa, selesai",negative,0 + 0 + 0 + 0 + 0 + 0 + -2 + 4 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + -1 + 0 + 0 + 0 + 0 + -2 = 0,1
"hubung, customer, service, susah, pol, habis",negative,-1 + 0 + 0 + 0 + 0 + -3 = -4,1
sippp,negative,0 = 0,5
"transaksi, hasil, saldo, tarik, pin, bayar, chat, respon, link, mohon, jelas, link, ye, customer, service, link, ssaja, ngatin, customer, tolol, wa, email, ssaja, rating, jelek, banget",positive,4 + 3 + 2 + 2 + 0 + -1 + 3 + 2 + 0 + -2 + -1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 1 = 13,1
"kali, pakai, link, sangad, kecewa, isi, token, sukses, nomor, token, kirim, tunggu, pusat, bantu, telpon, call, center, tangan, sangad, lambat, kecewa, karyawan, gaji, umr, token, nila, ribu, langsung, hidup",positive,0 + 0 + 0 + 0 + 0 + -2 + 0 + 3 + 0 + 0 + 2 + -1 + 3 + -3 + 0 + 0 + 0 + 1 + 0 + 1 + 0 + 3 + 0 + 0 + 0 + 2 + 0 + 3 + -2 = 10,1
"kali, beli, pulsa, status, sukses, masuk",positive,0 + -2 + 0 + 0 + 3 + 0 = 1,1
"bikin, aplikasi, biaya, bumn, saing, swasta, tinggal, nysaman, cocok, nsama, lahir, alih, aplikasi, deh",negative,0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + -4 + 0 + 3 + 0 + 0 + 0 = -2,1
"good, luck",positive,5 + 4 = 9,5
"tolong, apk, upgrade, full, servis, tunggu, inn, taii, belu, upgrade",negative,-3 + 0 + 0 + 0 + 3 + -1 + 0 + 0 + 0 + 0 = -1,1
"susah, kali, koneksi, aplikasi, sarveryang, update",negative,0 + 0 + -2 + 0 + 0 + 0 = -2,1
"keluh, sayang, tindak, lanjut, suruh, tunggu, jam, sssudah, sayang, tunggu, lebihhh, lanjut, sssudah, chat, live, chat, jwaban, suruh, tunggu, jam, sssudah, livechat, tunggu, lamaa, bangeeett, agennyyangaaa, tolooonggg",negative,0 + -3 + 0 + -2 + 0 + -1 + 0 + 0 + -3 + -1 + 0 + -2 + 0 + 3 + 3 + 3 + 0 + 0 + -1 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 = -5,1
"layan, chat, bagus, jelek, beli, token, sms, masuk, komplen, haya, hadap, mesin, layan, nol",negative,-2 + 3 + -2 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 = -5,1
"top, up, semalem, mbanking, masuklaporan, customer, service, tanggap, musti, lapor",positive,5 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 2 = 10,1
"metode, pembayangran",negative,0 + 0 = 0,5
"masalah, nih, aplikasi, linkaja, isi, emoney, kali, masuk, cek, kali, kali, kemarin, saldo, emoney, tambah, saldo, status, transaksi, sukses, complain, susah, live, chat, bantu",positive,0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 3 + 2 + 0 + 4 + 3 + 0 + 0 + 3 + 3 + -3 = 15,1
"saldo, kurang, ndk, riwayat, pending, pesan, sukses, cek, mutasi, rek, tuju, masuk",negative,2 + 0 + 0 + 0 + 0 + -2 + 3 + 0 + 0 + 0 + -3 + 0 = 0,1
mantap,positive,5 = 5,5
good,positive,5 = 5,5
"bagus, sayang, pakai, akun, aplikasi",negative,-2 + -3 + 0 + 0 + 0 = -5,4
"hubung, kontak",negative,-1 + -2 = -3,1
"suka, aplikasi, nyang, tolong, baik",negative,-3 + 0 + 0 + -3 + -3 = -9,2
"harga, cantum, biaya, admin, top, up, kali",positive,3 + 4 + 0 + 0 + 5 + 0 + 0 = 12,1
"jelek, nomor, adu",negative,0 + 0 + 0 = 0,1
"bar, code, ngebug, aplikasi",negative,0 + 0 + 0 + 0 = 0,3
"pindah, saldo, birokrasi, ribet, pakai, linkaja, kecewa",positive,-1 + 2 + 0 + 0 + 0 + 0 + 0 = 1,1
"good, apk",positive,5 + 0 = 5,5
"saldo, dalam, uprade, admin, customer, service, respon, responya, mohon, aplikasi, bantu",positive,2 + 3 + 0 + 0 + 0 + 0 + 2 + 0 + -2 + 0 + -3 = 2,1
"lupa, pasword, email, sulit, aktivkan, akun, ktp, sana, tolong, aktivkan, fitur, magic, aktivasi, nomor, email, nomor, valud, email, nomor, aktiv, email, valid",negative,-1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = -2,1
"susah, kali, up, akun, full, service, kali, kali, seleksih, foto, ktp, foto, wajah, done, maaih, proses, status, tolong, dipermsudah, min",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 3 + 0 + 0 + 0 + 1 + 0 + -3 + 0 + 0 = 4,3
"sesuai, iklan, beli, paket, data, kemarin, pending, coba, baik, butuh, bukti, transaksi, pending, simpan, adu, adu, customer, service",positive,3 + 0 + -2 + 4 + 0 + 0 + 0 + -2 + -3 + 0 + 0 + 4 + 0 + 0 + 0 + 0 + 0 + 0 = 4,4
"tarok, duit, admin, hubung, playanan, santidakt, buruk",negative,0 + 0 + 0 + -1 + 0 + 0 + 0 = -1,1
"transaksi, november, kompain, kali, saldo, aplikasi, tipu, jutidaka, oknum, mentidakatasnamakan, customer, service, linkaja, hati, bayar, pakai, link, ajasaya, bayar, cicil, masuk, koplain, kali, tantidaktidakapan, sekarantidak, riwayat, hilantidak",positive,4 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + -1 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 2,1
terimakasih,positive,5 = 5,5
"buka, lik",negative,-3 + 0 = -3,1
"aplikasi, sesal, beli, token, listrik, status, transaksi, sukses, ntidak, kirim, no, tokennya, sms, komplen, adu, salah, operator, pulsa, telpon, ntidak, beli, aplikasi",positive,0 + -1 + -2 + 0 + 0 + 0 + 4 + 3 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 = 4,1
"susah, verifikasi, kontak, layangna, lot, aduh",negative,0 + 0 + -2 + 0 + 0 + -1 = -3,1
"mana, lari, uang, xjam, saldo, masuk, top, up, juta, via, bank, saldo, kirim, masuk, apk, link, coba, hubung, customer, service, hubung, via, call, live, chat, email, guna",positive,0 + 0 + 0 + 0 + 2 + 0 + 5 + 0 + 2 + 0 + 0 + 2 + 2 + 0 + 0 + 0 + -2 + -1 + 0 + 0 + -1 + 0 + 0 + 3 + 3 + 0 + 1 = 16,1
"kak, akun, link, prepikasi, gmail, nomor, hp, daftar, soalya, akun, gmail, lupa, sandi, bantu",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + -1 + 0 + -3 = -5,4
"bagus, akun, blokir, customer, service, hubung, minggu, chat, dm, komplen, lewt, dm",negative,-2 + 0 + 0 + 0 + 0 + -1 + 0 + 3 + 0 + 0 + 0 + 0 = 0,1
buka,negative,-3 = -3,1
"mudah, transaksi, lancar",negative,-4 + 4 + -4 = -4,5
"korbansaldo, hilangakun, dihack, customer, service, susah, hubung, hapus, akun, ribet, pikir, gaes, pakai, app",negative,0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + -1 + 0 + 0 + 0 = -2,1
"bayar, pending, saldo, batidakimana, cerita, customer, service, balesnya, gitu, solusi",positive,-1 + 0 + 2 + 0 + -2 + 0 + 0 + 0 + 0 + 3 = 2,1
"mohon, bantu, keluh, yag, tindak, lanjut, sistem, mohon, sedia, call, center, realtime",negative,-2 + -3 + 0 + 0 + 0 + -2 + 0 + -2 + 2 + 0 + 0 + 0 = -7,3
"apk, ribet",negative,0 + 0 = 0,1
"beli, token, listrik, pampang, bareng, notifikasi, sms, masuk, sms, tanggung",negative,-2 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 = -5,1
"layan, ganggu, buruk, lambat, bola, lempar, kemanamana, kali, adu, beli, token, listrik, saldo, kurang, nomor, token, kasih, nelpon, call, center, suruh, live, chat, chat, agent, hubung, agent, pakai, aplikasi, buruk",positive,-2 + 0 + 0 + 1 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 2 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 3 + 3 + 3 + 0 + -1 + 0 + 0 + 0 + 0 = 5,1
nan,negative,0 = 0,5
bagus,negative,-2 = -2,5
"costumer, service, layan, pakai, bot, urus, ribet",negative,0 + 0 + -2 + 0 + 0 + 0 + 0 = -2,1
"kecewa, aplikasi, menu, pusat, bantu, menu, adu, lapor, tipu, uang, hilang, beku, rekening, orang, tipu, harap, update, depan, milik, menu, adu, lapor, tipu",negative,0 + 0 + 0 + 3 + -3 + 0 + 0 + 2 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 1 + 0 + 0 + 2 + 0 = -1,1
guna,positive,1 = 1,5
"transaksi, bayar, pbb, tanggal, september, tanggal, oktober, status, pending, rp, chat, agen, respon, kapok, pakai, aplikasi, susah, adu, mending, pakai, aplikasi",positive,4 + -1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 = 6,1
"email, susah",negative,0 + 0 = 0,1
sulit,negative,0 = 0,4
goooooood,negative,0 = 0,5
ok,positive,4 = 4,5
"ribet, full, servis",positive,0 + 0 + 3 = 3,1
"jelek, uang, transfer, tuju, kosong, santidakt, rekomended",negative,0 + 0 + 0 + -3 + 0 + 0 + 0 = -3,1
coba,negative,-2 = -2,5
"tinggal, gopay, gopaylatermakin, fitur, gopaylater, galanyadi, link, ssaja, super, ribet, daftar, my, paylater, kredivo, super, ribet, pilih, alamat, ketik, manual, lahir, syarat, susah, tele, teledi, gopaylater, limit, juta, gopaypinjam, limit, juta, linkssaja, ribetnyahahahaha, aplikasi, bangkrut, alias, tutup, aplikasilihat, ssaja, layan, nol, beli, pulsa, masuk, saldo, terpotongtidak, guna",negative,-1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + -1 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + -2 + 0 + 0 + 2 + 0 + 1 = -2,1
mantap,positive,5 = 5,5
"aplikasi, rekomendasi, topup, sistem, obrol, baik",negative,0 + 0 + 0 + 0 + 0 + -3 = -3,1
"aplikasi, ambil, poto, susah, matimohon, hapus, poto, ktp, halhal, kait, ktp, tanggung, lapor, wajib, ojk",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 1 + 0 + 0 + 2 + 0 + 0 = 3,1
"isi, saldo, link, via, alfamart, eroro, benerin",negative,-2 + 2 + 0 + 0 + 0 + 0 + 0 = 0,2
"kecewa, link, isi, pulsa, ribu, kali, masuk, saldo, potong, aju, kembali, dana, kembali, rupiah",positive,0 + 0 + -2 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 4 + 0 + 0 = 4,1
"pakai, eh, okt, logout, login, muncul, unrecognise, request, nomor, bikin, aplikasi, normal, ssaja, susah, customer, loyal, ssaja",negative,0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + 1 + 0 + 0 + 0 + 0 + 0 = 0,1
"transaksi, bayar, app, tidk",positive,4 + -1 + 0 + 0 = 3,1
lilippp,negative,0 = 0,5
"full, servis",positive,0 + 3 = 3,4
"transaksi, sukses, kirim",positive,4 + 3 + 2 = 9,1
"mudah, transaksi",negative,-4 + 4 = 0,5
"mantull, tul, mohon, bantuannyaa, login, akun, nya, masuk, kode, verifikasi, email",negative,0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = -2,5
"aplikasi, tolol, belanja, alfamart, qr, notif, limit, belanja, komputer, kasir, belanja, isi, saldo",negative,0 + 0 + -2 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + -2 + -2 + 2 = -6,1
"tutup, aplikasi, customer, service, susah, hubung, via, telpon, live, chat, nilai, minus, kasih, minus",positive,0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 3 + 3 + 5 + 0 + -2 + 0 = 8,1
"tolong, bantu, proses, upgrade, hari, laku, kunjung, aprov, saldo, ribu, usaha, jual, beli, tanam, tolong, kecewa, link",negative,-3 + -3 + 1 + 0 + 0 + 0 + -3 + 0 + 2 + 0 + -1 + 1 + -2 + 0 + -3 + 0 + 0 = -11,3
"jangn, doguenload, aplikasi, duit, gue, mkan, gara, gara, ngisi, emoney",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,1
"susah, ganti, nomor, hp",negative,0 + -3 + 0 + 0 = -3,1
"bayar, via, qris, nyangkut, uang, pending, urus, kali, jam, kapok, pakai, nih, app",negative,-1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = -1,1
"sayang, lengkap, fitur, tari, tunai, manual, rp, kalah, ewallet, worit, bank, lengkap, contoh, bank, cimb, niaga, sedia",negative,-3 + -2 + 0 + 1 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 2 = -1,1
"dii, coba, dii, coba",negative,0 + -2 + 0 + -2 = -4,3
ok,positive,4 = 4,5
"masuk, email, linkaja, operasi, dana, ambil, tolong, pihk, admin, telpon, operator, masalah, selesai",negative,0 + 0 + 0 + 1 + 4 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + -2 = 0,5
"bagus, keren",negative,-2 + 0 = -2,5
"link, verifikasi, masuk, email",negative,0 + 0 + 0 + 0 = 0,1
"aplikasi, payah, ubah, nomer, akun, linkaja, susah, benget, hubung, customer, service, susah, ampun, gana, transaksi, aman, customer, servicenya, super, super, lambat, bahaya, saldo, masuk, susah, sulit, nang",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + -1 + 0 + 4 + 0 + 0 + 0 + -3 + -3 + 1 + 0 + 2 + 0 + 0 + 0 + 0 = -1,1
keren,negative,0 = 0,5
"parah, salah, pin, tidaknti, pin, ribet, banget, saldo, ribu, pakai",positive,0 + 0 + 0 + 0 + 0 + 0 + 1 + 2 + 0 + 0 = 3,1
"login, suruh, reset, pin, reset, login, eror, suruh, reset, koclok",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,1
muas,positive,5 = 5,5
"hei, setan, anda, uang, kirm, masuk, xjam, lapor, iini, ojk",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 = 2,1
"tolong, ganti, akun, gmail, sayang, soalyang, hp, sayang, ganti, hafal, pw, karena, hp, sayang, yangng, hilang, tau, sayang, kantor, deh, tau, kantor",negative,-3 + -3 + 0 + 0 + -3 + 0 + 0 + -3 + -3 + 0 + 0 + 0 + 0 + -3 + 0 + -3 + 0 + -3 + 0 + 0 + 0 + 0 = -24,1
"aplikasi, katidak, csnya, akun, blokir, saldo, akun, kayak, katidak, niat, bikin, aplikasi",positive,0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 = 2,1
"layan, buruk, login, pakai, email, ngeluh, robot",negative,-2 + 0 + 0 + 0 + 0 + 0 + 0 = -2,1
"masuk, kode, verifikasi, kirim, email, kode, kirim, tolong, ubah, kode, verifikasi, nomor, handphone, sms, email",positive,0 + 0 + 0 + 2 + 0 + 0 + 2 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 1,1
mantap,positive,5 = 5,5
"jam, mubarak",negative,0 + 0 = 0,3
"perlu, teran, saksimudah, cepat",negative,2 + 0 + 0 + -3 = -1,5
ribet,negative,0 = 0,1
"masak, masuk, aplikasi",negative,-2 + 0 + 0 = -2,2
nan,negative,0 = 0,5
"transfer, bank, linkaja, status, sukses, saldo, potong, masuk, linkaja, solusi, dinhubungi, live, chat, bot",positive,0 + 0 + 0 + 0 + 3 + 2 + 0 + 0 + 0 + 3 + 0 + 3 + 3 + 0 = 14,2
"retingya, jelek, sikap, customer, service, proporsionalsusah, komunikasi, customer, service, alesan, menantidakni, castamer, bayak, pakai, link, ajasampai, mentidakbaikan, castamer, laingue, tarik, data, gue, sayang, bikin, akun, no, beda",negative,0 + 0 + 2 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + -3 + 0 + 0 + 0 + 0 = -1,1
"aplikasi, ribetmau, ganti, imel, ssh, banget",negative,0 + 0 + -3 + 0 + 0 + 1 = -2,1
"kaliya, kirim, uang, masuk, briva, linkajalive, chat, robot, yambuntidakan, agen, bisapdahal, pakai, linkaja, jaman, tcash",positive,0 + 2 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 5,1
"upgrade, butuh, buruk",negative,0 + 0 + 0 = 0,1
"aplikasi, aneh, live, chat, nya",positive,0 + -4 + 3 + 3 + 0 = 2,1
"b, good",positive,0 + 5 = 5,4
"mantap, aplikasi, iniisi, saldo, emonet, langsung, terisitidak, aplikasi, sebelahtop, up, saldo, potong, masukterima, kasih, linkaja",positive,5 + 0 + 0 + 2 + 0 + 3 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + -2 + 0 = 10,5
"tidaj, dwonlod, aplikasi, linkaja",negative,0 + 0 + 0 + 0 = 0,1
"isi, pulsa, hp, masuk, riwayat, pemberitahuan, sukses, salah, no, hpbagaimana, pulsa, sngat, kecewa",positive,-2 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 = 1,1
"susah, buka, kuota, sinyal, penuh, ganti, pakai, wifi, berat, buka, aplikasi, lancar",negative,0 + -3 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + -3 + 0 + -4 = -13,1
"slow, respon, susah, hubung, sesal, transaksi, pakai, apk, top, up, duit, mana, masuk, kagak",positive,1 + 2 + 0 + -1 + -1 + 4 + 0 + 0 + 5 + 0 + 0 + 0 + 0 + 0 = 10,1
"aplikasi, binatangbabi, bikin, ribet",negative,0 + 0 + 0 + 0 = 0,1
"bayar, tagih, baf, komplit",negative,-1 + 0 + 0 + 0 = -1,4
"pakai, link",negative,0 + 0 = 0,5
"korupsi, link, beli, data, kirim, kali, masuk, lanjut, uang, sedot, data, segitu, payah",negative,0 + 0 + -2 + 0 + 2 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 = -2,1
"hubung, live, chat, kali, sambung, kirim, email, suruh, livr, chat, layan, uang, kayak, maju, mending, tutup, apk, mu",positive,-1 + 3 + 3 + 0 + 0 + 2 + 0 + 0 + 0 + 3 + -2 + 0 + 0 + 0 + -2 + 0 + 0 + 0 = 6,1
"case, topup, pending, via, mbanking, transaksi, bank, hasil, saldo, potong",positive,0 + 0 + 0 + 0 + 0 + 4 + 0 + 3 + 2 + 0 = 9,1
"bayar, ecommerce, virtual, account, link, ssaja, system, internal, error, muncul, respek, aplikasi, link, ssaja",negative,-1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 = -2,1
top,positive,5 = 5,5
bagus,negative,-2 = -2,5
bagus,negative,-2 = -2,5
"poto, ktp, bilang, buram, kali, kali, poto, ktp, poto, ktp",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,4
daftar,negative,-1 = -1,1
"akun, blokir, buka, alas",negative,0 + 0 + -3 + 0 = -3,1
"bayar, topederrorrrrrr",negative,-1 + 0 = -1,2
bingung,negative,0 = 0,5
"kemarin, proses, upgrade, premium, proses",positive,0 + 1 + 0 + 2 + 1 = 4,1
"update, biar, kirim, uang",positive,0 + -1 + 2 + 0 = 1,1
"proses, verifikasi, lamaa, saldoya, cepat",negative,1 + 0 + 0 + 0 + -3 = -2,1
"good, good, good",positive,5 + 5 + 5 = 15,5
"fungsi, hp",negative,0 + 0 = 0,5
"beli, kuota, lelet",negative,-2 + 0 + 0 = -2,3
"ganti, nomor, hp, sulit, uninstall, selamany",negative,-3 + 0 + 0 + 0 + 0 + 0 = -3,1
"good, pp",positive,5 + 0 = 5,5
"maaf, kasih, bintang, tanggal, transaksi, ck, mnggunakan, metode, qris, by, link, pending, pelaporam, kembali, dana, cuman, ribu, harga, terima, kasih",positive,-2 + -2 + 0 + 0 + 4 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 4 + 0 + 0 + 3 + 2 + -2 = 7,1
mantaf,negative,0 = 0,5
"susah, verifikasi, verifikasi, kode, verifikasi, kirim, email, orang",positive,0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 = 2,1
"aplikasih, upgrade, ssaja, susah, banget, pakai, setidakla, foto, asli, kayangkk, ktp, sihtu, muka, orang, katidak, yangng, ubah, bayangr, virtual, rekening, jutidak, chat, agen, ssaja, kayangkk, tau, doang, customer, service, ageyang, tolong, baik, sihstem",positive,0 + 0 + 0 + 0 + 1 + 0 + 0 + 3 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + -3 + -3 + 0 = 2,1
mantap,positive,5 = 5,5
ok,positive,4 = 4,5
"pakai, apk, tarik, uang, kelur, uang, struk, transaksi, saldo, kepong, layan, customer, service, respon",positive,0 + 0 + 2 + 0 + 0 + 0 + 0 + 4 + 2 + 0 + -2 + 0 + 0 + 2 = 8,1
"reset, pin, lupa, email, sumpah, jalan, misalnyang, kode, nomor, jalan",negative,0 + 0 + -1 + 0 + -3 + 0 + 0 + 0 + 0 + 0 = -4,1
"coba, kirim, uang, bank, saldo, link, kurang, masuk, kerekbank, coba, tny, aplsaya, mau, tny, telp, apl",negative,-2 + 2 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + -5 + 0 + 0 + 0 = -5,2
"isi, saldo, e, money, via, link, ssaja, catat, sukses, update, saldo, e, money, saldo, tambah, aju, klaim, sistem, link, ssaja, transaksi, sukses, saldo, e, money, tambah, alhamdulillah, klaim, dana, akun",positive,-2 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 2 + 0 + 0 + 2 + 3 + 0 + 0 + 0 + 0 + 0 + 4 + 3 + 2 + 0 + 0 + 3 + 5 + 0 + 4 + 0 = 31,5
"woi, anjing, live, chat, hubung, customer, service, jawabanya, template, pentidakduan, tangtidakl, september, suruh, tunggu, kerja, pending, transaksiya, tidakusah, maling, woii, telepon, tidakbisa, email, laku, tol",positive,0 + 0 + 3 + 3 + -1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 6,1
good,positive,5 = 5,5
"masuk, aplikasi, ssssaja, susah, ssudah, bolak, balek, pakai, data, wifi, ssssaja, cuman, tidakambar, link, ssssaja, jam, jam, ssudah, restart, link, ssssaja",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,1
"belanja, top, up, link, pending, saldo, potong, belanja, masuk, minggu, telah, pending, hapus, call, center, mangatasi, keluh, langgan, saran, livechat, hubung, kali, alami, mana, lari, uang, tolong, tanggung",negative,-2 + 5 + 0 + 0 + 0 + 2 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + -2 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + -3 + 0 = -1,1
"respon, live, chat, tunggu, dii, agent, menit, dian, sudiah, hubung, diengan, agent, tidiak, respon, chat, tunggu, menit, obrol, dii, system, sungguh, layan",positive,2 + 3 + 3 + -1 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 2 + 3 + -1 + 0 + 0 + 0 + 0 + -4 + -2 = 4,1
"access, topup, dana, biar, mudah, terimakasih",positive,0 + 0 + 4 + -1 + -4 + 5 = 4,5
"mudah, urus",negative,-4 + 0 = -4,5
"saldo, juta, tidaknti, nomor, fullservice",positive,2 + 2 + 0 + 0 + 0 = 4,1
"aplikasi, bangsar, ngisi, my, pertamina, susah, top, up, susah, masuk",positive,0 + 0 + 0 + 0 + 0 + 0 + 5 + 0 + 0 + 0 = 5,1
bagus,negative,-2 = -2,5
good,positive,5 = 5,4
"susah, masuklivechat, pengeng, bantuankenpa, linkaja",negative,0 + 0 + 0 + 0 + 0 = 0,3
super,negative,-3 = -3,5
"tolong, bantu, proses, ganti, nomor, linkaja, nomor, blokir, ganti, fitur, live, chat, guna, fitur, call, center, biar, bantu, cepat",negative,-3 + -3 + 1 + -3 + 0 + 0 + 0 + 0 + -3 + 0 + 3 + 3 + 1 + 0 + 0 + 0 + -1 + -3 + -3 = -11,3
"tolong, respon, konsultasi, kemarin, suruh, upgrade, upgrade, suruh, ulang, duit, ku, dalam, siitu, kembali, duit, ku",positive,-3 + 2 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 = 5,1
good,positive,5 = 5,5
cakeeep,negative,0 = 0,5
"daftarin, kartu, wallet, sedih, banget, moga, update, yaingin, wallet, biru, bayar, pakai, kartu, qris",positive,0 + 0 + 0 + 0 + 1 + 1 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 = 1,1
